koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,6.155602850,0.2350,4.98430,2.8500e+02,0.015336,0.40662,2.32,0.0676,1146.0,406.94,9.340000,35.10,5739.00,4.191,1.3840
CONFIRMED,2.090811305,0.7460,3.38800,1.1590e+02,0.010686,0.15880,1.62,0.0329,1642.0,1718.04,3.320000,19.90,5739.00,4.191,1.3840
CONFIRMED,3.180027898,0.1960,3.57970,1.2030e+02,0.009989,0.57560,1.53,0.0439,1458.0,1066.86,6.751000,50.40,5847.00,4.191,1.4020
CONFIRMED,50.446741700,0.3790,7.15900,3.7030e+02,0.017670,0.97794,2.67,0.2747,568.0,24.64,50.900000,19.40,5739.00,4.191,1.3840
CONFIRMED,11.763071640,0.0480,2.90760,1.0373e+03,0.028519,4.37951,2.35,0.0954,616.0,33.99,31.760000,48.90,4959.00,4.603,0.7560
CONFIRMED,56.227927100,0.7000,3.57000,8.6270e+02,0.028683,4.47051,2.37,0.2707,366.0,4.22,90.700000,20.90,4959.00,4.603,0.7560
FALSE POSITIVE,2.384052875,1.1780,3.09180,1.2681e+03,0.222925,0.03902,17.06,0.0308,1010.0,244.87,2.270000,50.50,4794.00,4.580,0.7010
CONFIRMED,7.953547000,0.3000,2.63120,8.7540e+02,0.026448,3.48717,2.25,0.0712,696.0,55.37,22.680000,38.40,4768.00,4.536,0.7790
CONFIRMED,4.144516560,0.0040,2.34210,3.9180e+02,0.017441,2.87358,1.48,0.0461,864.0,132.08,13.767000,22.80,4768.00,4.536,0.7790
FALSE POSITIVE,4.859386384,1.2590,2.27570,6.0443e+03,0.355227,0.45630,38.33,0.0571,1114.0,364.23,8.290000,269.70,6072.00,4.470,0.9880
CONFIRMED,10.526294577,0.6440,2.52110,9.7680e+03,0.095143,3.85261,8.24,0.0880,713.0,61.16,28.260000,482.30,5386.00,4.553,0.7930
CONFIRMED,4.583520948,0.0450,2.70550,3.8121e+03,0.056287,2.30111,5.39,0.0535,1038.0,274.98,13.672000,99.50,5815.00,4.540,0.8770
CONFIRMED,3.761818430,0.9260,3.51760,5.1060e+02,0.025656,0.06927,2.66,0.0470,1121.0,372.62,3.730000,35.90,5653.00,4.472,0.9490
CONFIRMED,8.203969580,0.8230,2.96670,1.0244e+03,0.033372,0.65082,3.01,0.0735,742.0,71.50,13.230000,54.40,5015.00,4.499,0.8260
